English, Russian, Spanish, German
look for, искать, busque, suchen
rich, богатый, rico, reich
chair, стул, silla, Der Stuhl
laptop, ноутбук, ordenador portátil, Laptop
apple, яблоко, manzana, Apfel
book, книга, libro, Buch
water, вода, agua, Wasser
friend, друг, amigo, Freund
house, дом, casa, Haus
car, машина, coche, Auto
school, школа, escuela, Schule
love, любовь, amor, Liebe
family, семья, familia, Familie
music, музыка, música, Musik
table, стол, mesa, Tisch
phone, телефон, teléfono, Telefon
city, город, ciudad, Stadt
tree, дерево, árbol, Baum
food, еда, comida, Essen
happy, счастливый, feliz, glücklich
dog, собака, perro, Hund
cat, кошка, gato, Katze
sun, солнце, sol, Sonne
night, ночь, noche, Nacht
computer, компьютер, computadora, Computer
teacher, учитель, maestro, Lehrer
student, студент, estudiante, Student
market, рынок, mercado, Markt
coffee, кофе, café, Kaffee
bread, хлеб, pan, Brot
shoe, обувь, zapato, Schuh
shirt, рубашка, camisa, Hemd
dress, платье, vestido, Kleid
garden, сад, jardín, Garten
river, река, río, Fluss
mountain, гора, montaña, Berg
beach, пляж, playa, Strand
sky, небо, cielo, Himmel
star, звезда, estrella, Stern
moon, луна, luna, Mond
cloud, облако, nube, Wolke
rain, дождь, lluvia, Regen
snow, снег, nieve, Schnee
wind, ветер, viento, Wind
heart, сердце, corazón, Herz
smile, улыбка, sonrisa, Lächeln
dream, мечта, sueño, Traum
hope, надежда, esperanza, Hoffnung
peace, мир, paz, Frieden
joy, радость, alegría, Freude
light, свет, luz, Licht
dark, темнота, oscuridad, Dunkelheit
fire, огонь, fuego, Feuer
earth, земля, tierra, Erde
health, здоровье, salud, Gesundheit
strength, сила, fuerza, Stärke
wisdom, мудрость, sabiduría, Weisheit
knowledge, знание, conocimiento, Wissen
time, время, tiempo, Zeit
space, пространство, espacio, Raum
journey, путешествие, viaje, Reise
adventure, приключение, aventura, Abenteuer
story, история, historia, Geschichte
memory, память, memoria, Erinnerung
art, искусство, arte, Kunst
culture, культура, cultura, Kultur
language, язык, idioma, Sprache
history, история, historia, Geschichte
science, наука, ciencia, Wissenschaft
nature, природа, naturaleza, Natur
technology, технология, tecnología, Technologie
society, общество, sociedad, Gesellschaft
community, сообщество, comunidad, Gemeinschaft
future, будущее, futuro, Zukunft
window, окно, ventana, Fenster
door, дверь, puerta, Tür
floor, пол, suelo, Boden
roof, крыша, techo, Dach
wall, стена, pared, Wand
light, свет, luz, Licht
fan, вентилятор, ventilador, Ventilator
table, стол, mesa, Tisch
chair, стул, silla, Stuhl
cup, чашка, taza, Tasse
spoon, ложка, cuchara, Löffel
fork, вилка, tenedor, Gabel
knife, нож, cuchillo, Messer
plate, тарелка, plato, Teller
bowl, миска, cuenco, Schüssel
napkin, салфетка, servilleta, Serviette
kitchen, кухня, cocina, Küche
bathroom, ванная, baño, Badezimmer
bedroom, спальня, dormitorio, Schlafzimmer
living room, гостиная, sala de estar, Wohnzimmer
television, телевизор, televisor, Fernseher
radio, радио, radio, Radio
camera, камера, cámara, Kamera
computer, компьютер, computadora, Computer
internet, интернет, internet, Internet
email, электронная почта, correo electrónico, E-Mail
message, сообщение, mensaje, Nachricht
call, звонок, llamada, Anruf
text, текст, texto, Text
photo, фотография, foto, Foto
game, игра, juego, Spiel
sport, спорт, deporte, Sport
team, команда, equipo, Team
player, игрок, jugador, Spieler
match, матч, partido, Spiel
score, счет, puntuación, Punktestand
trophy, трофей, trofeo, Trophäe
medal, медаль, medalla, Medaille
victory, победа, victoria, Sieg
defeat, поражение, derrota, Niederlage
mountain, гора, montaña, Berg
valley, долина, valle, Tal
ocean, океан, océano, Ozean
lake, озеро, lago, See
forest, лес, bosque, Wald
desert, пустыня, desierto, Wüste
island, остров, isla, Insel
riverbank, берег реки, orilla del río, Ufer
waterfall, водопад, cascada, Wasserfall
canyon, каньон, cañón, Canyon
animal, животное, animal, Tier
bird, птица, pájaro, Vogel
fish, рыба, pez, Fisch
insect, насекомое, insecto, Insekt
reptile, рептилия, reptil, Reptil
mammal, млекопитающее, mamífero, Säugetier
wildlife, дикая природа, vida silvestre, Wildtiere
zoo, зоопарк, zoológico, Zoo
farm, ферма, granja, Bauernhof
pet, домашнее животное, mascota, Haustier
doctor, врач, médico, Arzt
nurse, медсестра, enfermera, Krankenschwester
patient, пациент, paciente, Patient
hospital, больница, hospital, Krankenhaus
medicine, медицина, medicina, Medizin
treatment, лечение, tratamiento, Behandlung
healthcare, здравоохранение, atención médica, Gesundheitsversorgung
surgery, операция, cirugía, Operation
checkup, осмотр, chequeo, Untersuchung
prescription, рецепт, receta, Rezept
job, работа, trabajo, Job
career, карьера, carrera, Karriere
salary, зарплата, salario, Gehalt
employee, сотрудник, empleado, Angestellter
employer, работодатель, empleador, Arbeitgeber
office, офис, oficina, Büro
meeting, встреча, reunión, Besprechung
project, проект, proyecto, Projekt
deadline, срок, fecha límite, Frist
task, задача, tarea, Aufgabe
software, программное обеспечение, software, Software
hardware, аппаратное обеспечение, hardware, Hardware
network, сеть, red, Netzwerk
database, база данных, base de datos, Datenbank
server, сервер, servidor, Server
website, веб-сайт, sitio web, Webseite
application, приложение, aplicación, Anwendung
program, программа, programa, Programm
code, код, código, Code
song, песня, canción, Lied
dance, танец, baile, Tanz
instrument, инструмент, instrumento, Instrument
concert, концерт, concierto, Konzert
album, альбом, álbum, Album
singer, певец, cantante, Sänger
band, группа, banda, Band
melody, мелодия, melodía, Melodie
rhythm, ритм, ritmo, Rhythmus
book, книга, libro, Buch
author, автор, autor, Autor
story, история, historia, Geschichte
chapter, глава, capítulo, Kapitel
library, библиотека, biblioteca, Bibliothek
reader, читатель, lector, Leser
novel, роман, novela, Roman
poem, стихотворение, poema, Gedicht
literature, литература, literatura, Literatur
fiction, художественная литература, ficción, Fiktion
travel, путешествие, viajar, reisen
trip, поездка, viaje, Reise
destination, место назначения, destino, Ziel
ticket, билет, billete, Ticket
hotel, отель, hotel, Hotel
reservation, бронирование, reserva, Reservierung
tour, экскурсия, tour, Tour
guide, гид, guía, Führer
map, карта, mapa, Karte
adventure, приключение, aventura, Abenteuer
I,я,yo,ich
you,ты,tú,du
he,он,él,er
she,она,ella,sie
it,оно,eso,es
we,мы,nosotros,wir
they,они,ellos,sie
my,мой,mi,mein
your,твой,tú,dein
his,его,su,sein
her,её,su,ihr
its,его,su,sein
our,наш,nuestro,unser
their,их,su,ihr
in,в,en,in
on,на,sobre,auf
at,у,en,an
to,к,a,zu
from,из,de,von
with,с,con,mit
about,о,sobre,über
for,для,para,für
by,по,por,bei
between,между,entre,zwischen
among,среди,entre,unter
and,и,y,und
but,но,pero,aber
or,или,o,oder
so,так что,así que,so
for,потому что,porque,für
nor,ни,ni,noch
yet,тем не менее,sin embargo,doch
although,хотя,aunque,obwohl
because,потому что,porque,weil
if,если,si,wenn
big,большой,grande,groß
small,маленький,pequeño,klein
fast,быстрый,rápido,schnell
slow,медленный,lento,langsam
new,новый,nuevo,neu
old,старый,viejo,alt
good,хороший,buen, gut
bad,плохой,malo,schlecht
happy,счастливый,feliz, glücklich
sad,грустный,triste,traurig
easy,легкий,fácil,einfach
difficult,трудный,difícil,schwierig
beautiful,красивый,hermoso, schön
ugly,уродливый,feo, hässlich
smart,умный,inteligente,klug
bright,яркий,brillante,hell
dark,темный,oscuro,dunkel
heavy,тяжелый,pesado,schwer
light,легкий,luz,leicht
rich,богатый,rico,reich
poor,бедный,pobre,arm
clean,чистый,limpio,sauber
dirty,грязный,sucio,schmutzig
loud,громкий,ruidoso,laut
quiet,тихий,tranquilo,ruhig
warm,теплый,cálido,warm
cold,холодный,frío,kalt
sweet,сладкий,dulce,süß
sour,кислый,ácido,sauer
bitter,горький,amargo,bitter
soft,мягкий,suave,weich
hard,твердый,duro,hart
sharp,острый,afilado,scharf
dull,тупой,desafilado,stumpf
smooth,гладкий,suave,glatt
rough,шероховатый,áspero,rau
safe,безопасный,seguro,sicher
dangerous,опасный,peligroso,gefährlich
simple,простой,sencillo,einfach
complex,сложный,complejo,komplex
interesting,интересный,interesante,interessant
boring,скучный,aburrido,langweilig
friendly,дружелюбный,amigable,friendly
rude,грубый,grosero,unhöflich
polite,вежливый,educado,höflich
funny,смешной,divertido,lustig
serious,серьезный,serio,ernst
creative,креативный,creativo,kreativ
lazy,ленивый,perezoso,faul
active,активный,activo,aktiv
healthy,здоровый,saludable,gesund
sick,больной,enfermo,krank
beautiful,красивый,hermoso,schön
ugly,уродливый,feo,hässlich
modern,современный,moderno,modern
ancient,древний,antiguo,alt
popular,популярный,popular,beliebt
rare,редкий,raro,selten
common,распространенный,común,gewöhnlich
valuable,ценный,valioso,wichtig
cheap,дешевый,barato, billig
expensive,дорогой,costoso,teuer
flexible,гибкий,flexible,flexibel
rigid,жесткий,rígido,starr
reliable,надежный,fiable,zuverlässig
active,активный,activo,aktiv
aggressive,агрессивный,agresivo,aggressiv
ambitious,амбициозный,ambicioso,ambitioniert
anxious,тревожный,ansioso,ängstlich
attractive,привлекательный,atractivo,attraktiv
brave,смелый,valiente,mutig
calm,спокойный,tranquilo,ruhig
careful,осторожный,cauteloso,vorsichtig
cheerful,радостный,alegre,fröhlich
confident,уверенный,seguro,selbstbewusst
courageous,мужественный,valiente,mutig
creative,творческий,creativo,kreativ
curious,любопытный,curioso,neugierig
determined,решительный,dedicado,entschlossen
diligent,усердный,diligente,gewissenhaft
eager,стремящийся,ansioso,eifrig
enthusiastic,энтузиастичный,entusiasta,begeistert
faithful,верный,leal,treu
generous,щедрый,generoso,generös
gentle,нежный,suave,zart
genuine,искренний,genuino,echt
grateful,благодарный,agradecido,dankbar
happy,счастливый,feliz,glücklich
hopeful,надеющийся,optimista,hoffnungsvoll
humble,скромный,humilde,bescheiden
imaginative,воображаемый,imaginativo,einfallsreich
independent,независимый,independiente,unabhängig
intelligent,умный,inteligente,klug
